iter	Passed	Remaining
0	152	152668
1	153	76765
2	154	51359
3	155	38651
4	155	31021
5	156	25949
6	157	22287
7	157	19535
8	157	17396
9	158	15693
10	159	14299
11	159	13135
12	160	12160
13	161	11342
14	161	10607
15	162	9965
16	162	9398
17	162	8892
18	163	8440
19	163	8033
20	164	7664
21	164	7334
22	165	7029
23	165	6750
24	166	6503
25	167	6265
26	167	6043
27	168	5836
28	168	5644
29	169	5469
30	169	5303
31	170	5149
32	170	5004
33	171	4867
34	171	4738
35	172	4615
36	172	4499
37	173	4388
38	173	4283
39	174	4183
40	174	4089
41	175	4002
42	176	3918
43	176	3837
44	177	3758
45	177	3683
46	178	3612
47	178	3544
48	179	3479
49	179	3415
50	180	3354
51	180	3295
52	181	3240
53	181	3187
54	182	3134
55	182	3083
56	183	3035
57	183	2987
58	184	2942
59	185	2899
60	185	2856
61	186	2814
62	186	2773
63	186	2734
64	187	2696
65	188	2660
66	188	2627
67	189	2593
68	189	2559
69	190	2527
70	190	2496
71	191	2466
72	191	2435
73	192	2407
74	192	2377
75	193	2350
76	193	2324
77	194	2298
78	194	2273
79	195	2247
80	195	2223
81	196	2198
82	196	2173
83	197	2152
84	197	2130
85	198	2109
86	198	2087
87	199	2066
88	199	2045
89	200	2025
90	200	2006
91	201	1987
92	201	1968
93	202	1950
94	202	1933
95	203	1916
96	204	1899
97	204	1882
98	205	1865
99	205	1849
100	205	1832
101	206	1816
102	206	1801
103	207	1786
104	207	1772
105	208	1757
106	208	1743
107	209	1730
108	210	1717
109	210	1703
110	210	1689
111	211	1675
112	211	1662
113	212	1649
114	212	1636
115	213	1625
116	213	1613
117	214	1601
118	214	1589
119	215	1578
120	215	1567
121	216	1556
122	216	1545
123	217	1534
124	217	1524
125	218	1514
126	218	1503
127	219	1493
128	219	1483
129	220	1473
130	220	1463
131	221	1454
132	221	1445
133	222	1435
134	222	1427
135	223	1418
136	223	1409
137	224	1400
138	224	1391
139	225	1382
140	225	1373
141	225	1364
